opponent,total_minutes,total_points,total_reb,total_ast,total_3pm,total_3pa,total_games,ppg,rpg,apg,threes_made_pg,threes_attempted_pg,mpg
Nebraska,376,343,87,83,45,112,10,34.3,8.7,8.3,4.5,11.2,37.6
Indiana,333,250,53,67,29,95,9,27.77777777777778,5.888888888888889,7.444444444444445,3.2222222222222223,10.555555555555555,37
Ohio State,267,238,47,69,35,90,7,34,6.714285714285714,9.857142857142858,5,12.857142857142858,38.142857142857146
Minnesota,229,226,61,64,36,70,7,32.285714285714285,8.714285714285714,9.142857142857142,5.142857142857143,10,32.714285714285715
Michigan,219,216,32,61,36,71,6,36,5.333333333333333,10.166666666666666,6,11.833333333333334,36.5
Maryland,259,194,40,53,38,90,7,27.714285714285715,5.714285714285714,7.571428571428571,5.428571428571429,12.857142857142858,37
Wisconsin,227,174,55,58,23,57,7,24.857142857142858,7.857142857142857,8.285714285714286,3.2857142857142856,8.142857142857142,32.42857142857143
Northwestern,244,163,45,56,21,61,7,23.285714285714285,6.428571428571429,8,3,8.714285714285714,34.857142857142854
Penn State,202,153,45,71,21,62,6,25.5,7.5,11.833333333333334,3.5,10.333333333333334,33.666666666666664
Purdue,206,149,48,41,17,56,6,24.833333333333332,8,6.833333333333333,2.8333333333333335,9.333333333333334,34.333333333333336
Michigan State,184,145,30,43,19,60,5,29,6,8.6,3.8,12,36.8
Rutgers,160,125,31,45,13,33,5,25,6.2,9,2.6,6.6,32
Illinois,126,95,32,28,17,39,4,23.75,8,7,4.25,9.75,31.5
